Indicator,Year,County,State,FIPS,Rate,Cases,Population
HIV diagnoses,2014,Grant County ,Wisconsin,55043,Data suppressed,Data suppressed,"44,255"
HIV diagnoses,2014,Grays Harbor County ,Washington,53027,Data suppressed,Data suppressed,"60,239"
HIV diagnoses,2014,Green County ,Wisconsin,55045,Data suppressed,Data suppressed,"31,025"
HIV diagnoses,2014,Green Lake County ,Wisconsin,55047,Data suppressed,Data suppressed,"15,850"
HIV diagnoses,2014,Hot Springs County ,Wyoming,56017,Data suppressed,Data suppressed,"4,090"
HIV diagnoses,2014,Iowa County ,Wisconsin,55049,Data suppressed,Data suppressed,"19,869"
HIV diagnoses,2014,Iron County ,Wisconsin,55051,Data suppressed,Data suppressed,"5,258"
HIV diagnoses,2014,Island County ,Washington,53029,Data suppressed,Data suppressed,"68,393"
HIV diagnoses,2014,Jackson County ,Wisconsin,55053,Data suppressed,Data suppressed,"17,312"
HIV diagnoses,2014,Jefferson County ,Washington,53031,Data suppressed,Data suppressed,"27,391"
HIV diagnoses,2014,Jefferson County ,Wisconsin,55055,Data suppressed,Data suppressed,"71,258"
HIV diagnoses,2014,Johnson County ,Wyoming,56019,Data suppressed,Data suppressed,"7,171"
HIV diagnoses,2014,Juneau County ,Wisconsin,55057,Data suppressed,Data suppressed,"22,527"
HIV diagnoses,2014,Kenosha County ,Wisconsin,55059,Data suppressed,Data suppressed,"139,826"
HIV diagnoses,2014,Kewaunee County ,Wisconsin,55061,Data suppressed,Data suppressed,"17,340"
HIV diagnoses,2014,King County ,Washington,53033,15.4,271,"1,762,387"
HIV diagnoses,2014,Kitsap County ,Washington,53035,2.8,6,"216,681"
HIV diagnoses,2014,Kittitas County ,Washington,53037,Data suppressed,Data suppressed,"37,170"
HIV diagnoses,2014,Klickitat County ,Washington,53039,Data suppressed,Data suppressed,"17,905"
HIV diagnoses,2014,La Crosse County ,Wisconsin,55063,7,7,"100,690"
HIV diagnoses,2014,Lafayette County ,Wisconsin,55065,Data suppressed,Data suppressed,"13,834"
HIV diagnoses,2014,Langlade County ,Wisconsin,55067,Data suppressed,Data suppressed,"16,699"
HIV diagnoses,2014,Laramie County ,Wyoming,56021,Data suppressed,Data suppressed,"79,719"
HIV diagnoses,2014,Lewis County ,Washington,53041,Data suppressed,Data suppressed,"63,680"
HIV diagnoses,2014,Lincoln County ,Washington,53043,Data suppressed,Data suppressed,"8,750"
HIV diagnoses,2014,Lincoln County ,Wisconsin,55069,Data suppressed,Data suppressed,"24,542"
HIV diagnoses,2014,Lincoln County ,Wyoming,56023,Data suppressed,Data suppressed,"14,961"
HIV diagnoses,2014,Manitowoc County ,Wisconsin,55071,Data suppressed,Data suppressed,"68,414"
HIV diagnoses,2014,Marathon County ,Wisconsin,55073,Data suppressed,Data suppressed,"113,154"
HIV diagnoses,2014,Marinette County ,Wisconsin,55075,Data suppressed,Data suppressed,"35,668"
HIV diagnoses,2014,Marquette County ,Wisconsin,55077,Data suppressed,Data suppressed,"12,945"
HIV diagnoses,2014,Mason County ,Washington,53045,Data suppressed,Data suppressed,"52,459"
HIV diagnoses,2014,Menominee County ,Wisconsin,55078,Data suppressed,Data suppressed,"3,372"
HIV diagnoses,2014,Milwaukee County ,Wisconsin,55079,16.2,127,"785,444"
HIV diagnoses,2014,Monroe County ,Wisconsin,55081,Data suppressed,Data suppressed,"37,066"
HIV diagnoses,2014,Natrona County ,Wyoming,56025,Data suppressed,Data suppressed,"67,085"
HIV diagnoses,2014,Niobrara County ,Wyoming,56027,Data suppressed,Data suppressed,"2,214"
HIV diagnoses,2014,Oconto County ,Wisconsin,55083,Data suppressed,Data suppressed,"32,088"
HIV diagnoses,2014,Okanogan County ,Washington,53047,Data suppressed,Data suppressed,"34,332"
HIV diagnoses,2014,Oneida County ,Wisconsin,55085,Data suppressed,Data suppressed,"31,187"
HIV diagnoses,2014,Outagamie County ,Wisconsin,55087,6,9,"150,760"
HIV diagnoses,2014,Ozaukee County ,Wisconsin,55089,Data suppressed,Data suppressed,"74,532"
HIV diagnoses,2014,Pacific County ,Washington,53049,Data suppressed,Data suppressed,"18,099"
HIV diagnoses,2014,Park County ,Wyoming,56029,Data suppressed,Data suppressed,"24,832"
HIV diagnoses,2014,Pend Oreille County ,Washington,53051,Data suppressed,Data suppressed,"11,229"
HIV diagnoses,2014,Pepin County ,Wisconsin,55091,Data suppressed,Data suppressed,"6,220"
HIV diagnoses,2014,Pierce County ,Washington,53053,6.4,44,"686,091"
HIV diagnoses,2014,Pierce County ,Wisconsin,55093,Data suppressed,Data suppressed,"34,774"
HIV diagnoses,2014,Platte County ,Wyoming,56031,Data suppressed,Data suppressed,"7,546"
HIV diagnoses,2014,Polk County ,Wisconsin,55095,Data suppressed,Data suppressed,"36,831"
HIV diagnoses,2014,Portage County ,Wisconsin,55097,Data suppressed,Data suppressed,"60,709"
HIV diagnoses,2014,Price County ,Wisconsin,55099,Data suppressed,Data suppressed,"12,044"
HIV diagnoses,2014,Racine County ,Wisconsin,55101,6.8,11,"162,163"
HIV diagnoses,2014,Richland County ,Wisconsin,55103,Data suppressed,Data suppressed,"14,858"
HIV diagnoses,2014,Rock County ,Wisconsin,55105,Data suppressed,Data suppressed,"134,027"
HIV diagnoses,2014,Rusk County ,Wisconsin,55107,Data suppressed,Data suppressed,"12,265"
HIV diagnoses,2014,San Juan County ,Washington,53055,Data suppressed,Data suppressed,"14,504"
HIV diagnoses,2014,Sauk County ,Wisconsin,55111,Data suppressed,Data suppressed,"52,985"
HIV diagnoses,2014,Sawyer County ,Wisconsin,55113,Data suppressed,Data suppressed,"14,068"
HIV diagnoses,2014,Shawano County ,Wisconsin,55115,Data suppressed,Data suppressed,"35,166"
HIV diagnoses,2014,Sheboygan County ,Wisconsin,55117,Data suppressed,Data suppressed,"96,869"
HIV diagnoses,2014,Sheridan County ,Wyoming,56033,Data suppressed,Data suppressed,"25,375"
HIV diagnoses,2014,Skagit County ,Washington,53057,5,5,"100,894"
HIV diagnoses,2014,Skamania County ,Washington,53059,Data suppressed,Data suppressed,"9,723"
HIV diagnoses,2014,Snohomish County ,Washington,53061,5.2,33,"633,531"
HIV diagnoses,2014,Spokane County ,Washington,53063,1.5,6,"406,356"
HIV diagnoses,2014,St. Croix County ,Wisconsin,55109,Data suppressed,Data suppressed,"70,878"
HIV diagnoses,2014,Stevens County ,Washington,53065,Data suppressed,Data suppressed,"37,050"
HIV diagnoses,2014,Sublette County ,Wyoming,56035,Data suppressed,Data suppressed,"8,306"
HIV diagnoses,2014,Sweetwater County ,Wyoming,56037,Data suppressed,Data suppressed,"35,965"
HIV diagnoses,2014,Taylor County ,Wisconsin,55119,Data suppressed,Data suppressed,"17,061"
HIV diagnoses,2014,Teton County ,Wyoming,56039,Data suppressed,Data suppressed,"19,619"
HIV diagnoses,2014,Thurston County ,Washington,53067,2.2,5,"223,968"
HIV diagnoses,2014,Trempealeau County ,Wisconsin,55121,Data suppressed,Data suppressed,"24,338"
HIV diagnoses,2014,Uinta County ,Wyoming,56041,Data suppressed,Data suppressed,"16,436"
HIV diagnoses,2014,Vernon County ,Wisconsin,55123,Data suppressed,Data suppressed,"24,711"
HIV diagnoses,2014,Vilas County ,Wisconsin,55125,Data suppressed,Data suppressed,"18,887"
HIV diagnoses,2014,Wahkiakum County ,Washington,53069,Data suppressed,Data suppressed,"3,586"
HIV diagnoses,2014,Walla Walla County ,Washington,53071,Data suppressed,Data suppressed,"50,527"
HIV diagnoses,2014,Walworth County ,Wisconsin,55127,Data suppressed,Data suppressed,"87,726"
HIV diagnoses,2014,Washakie County ,Wyoming,56043,Data suppressed,Data suppressed,"6,945"
HIV diagnoses,2014,Washburn County ,Wisconsin,55129,Data suppressed,Data suppressed,"13,502"
HIV diagnoses,2014,Washington County ,Wisconsin,55131,Data suppressed,Data suppressed,"112,043"
HIV diagnoses,2014,Waukesha County ,Wisconsin,55133,Data suppressed,Data suppressed,"335,018"
HIV diagnoses,2014,Waupaca County ,Wisconsin,55135,Data suppressed,Data suppressed,"44,476"
HIV diagnoses,2014,Waushara County ,Wisconsin,55137,Data suppressed,Data suppressed,"21,018"
HIV diagnoses,2014,Weston County ,Wyoming,56045,Data suppressed,Data suppressed,"6,072"
HIV diagnoses,2014,Whatcom County ,Washington,53073,Data suppressed,Data suppressed,"178,510"
HIV diagnoses,2014,Whitman County ,Washington,53075,Data suppressed,Data suppressed,"41,701"
HIV diagnoses,2014,Winnebago County ,Wisconsin,55139,Data suppressed,Data suppressed,"144,283"
HIV diagnoses,2014,Wood County ,Wisconsin,55141,Data suppressed,Data suppressed,"62,262"
HIV diagnoses,2014,Yakima County ,Washington,53077,4.7,9,"193,335"
HIV prevalence,2014,Adams County ,Washington,53001,92.2,13,"14,104"
HIV prevalence,2014,Adams County ,Wisconsin,55001,121.4,22,"18,121"
HIV prevalence,2014,Albany County ,Wyoming,56001,60.4,20,"33,125"
HIV prevalence,2014,Ashland County ,Wisconsin,55003,66.8,9,"13,475"
HIV prevalence,2014,Asotin County ,Washington,53003,90.1,17,"18,878"
HIV prevalence,2014,Barron County ,Wisconsin,55005,70.3,27,"38,421"
HIV prevalence,2014,Bayfield County ,Wisconsin,55007,53.2,7,"13,147"
HIV prevalence,2014,Benton County ,Washington,53005,67.7,102,"150,701"
HIV prevalence,2014,Big Horn County ,Wyoming,56003,Data suppressed,Data suppressed,null
HIV prevalence,2014,Brown County ,Wisconsin,55009,99.8,211,"211,521"
HIV prevalence,2014,Buffalo County ,Wisconsin,55011,Data suppressed,Data suppressed,null
HIV prevalence,2014,Burnett County ,Wisconsin,55013,82.1,11,"13,405"
HIV prevalence,2014,Calumet County ,Wisconsin,55015,19.7,8,"40,616"
HIV prevalence,2014,Campbell County ,Wyoming,56005,31.4,12,"38,169"
HIV prevalence,2014,Carbon County ,Wyoming,56007,53.5,7,"13,082"
HIV prevalence,2014,Chelan County ,Washington,53007,76.4,47,"61,511"
HIV prevalence,2014,Chippewa County ,Wisconsin,55017,45.1,24,"53,179"
HIV prevalence,2014,Clallam County ,Washington,53009,89.6,57,"63,644"
HIV prevalence,2014,Clark County ,Washington,53011,164.9,611,"370,544"
HIV prevalence,2014,Clark County ,Wisconsin,55019,44.3,12,"27,116"
HIV prevalence,2014,Columbia County ,Washington,53013,229.5,8,"3,485"
HIV prevalence,2014,Columbia County ,Wisconsin,55021,60.7,29,"47,786"
HIV prevalence,2014,Converse County ,Wyoming,56009,Data suppressed,Data suppressed,null
HIV prevalence,2014,Cowlitz County ,Washington,53015,141.2,121,"85,668"
HIV prevalence,2014,Crawford County ,Wisconsin,55023,71.4,10,"13,996"
HIV prevalence,2014,Crook County ,Wyoming,56011,Data suppressed,Data suppressed,null
HIV prevalence,2014,Dane County ,Wisconsin,55025,153.2,670,"437,382"
HIV prevalence,2014,Dodge County ,Wisconsin,55027,116,88,"75,835"
HIV prevalence,2014,Door County ,Wisconsin,55029,44.9,11,"24,497"
HIV prevalence,2014,Douglas County ,Washington,53017,30.9,10,"32,394"
HIV prevalence,2014,Douglas County ,Wisconsin,55031,58.9,22,"37,359"
HIV prevalence,2014,Dunn County ,Wisconsin,55033,34.2,13,"38,033"
HIV prevalence,2014,Eau Claire County ,Wisconsin,55035,42.8,37,"86,530"
HIV prevalence,2014,Ferry County ,Washington,53019,74.8,5,"6,681"
HIV prevalence,2014,Florence County ,Wisconsin,55037,Data suppressed,Data suppressed,null
HIV prevalence,2014,Fond Du Lac County ,Wisconsin,55039,48.7,42,"86,161"
HIV prevalence,2014,Forest County ,Wisconsin,55041,Data suppressed,Data suppressed,null
HIV prevalence,2014,Franklin County ,Washington,53021,88.2,58,"65,724"
HIV prevalence,2014,Fremont County ,Wyoming,56013,60.7,20,"32,964"
HIV prevalence,2014,Garfield County ,Washington,53023,Data suppressed,Data suppressed,null
HIV prevalence,2014,Goshen County ,Wyoming,56015,51.7,6,"11,605"
HIV prevalence,2014,Grant County ,Washington,53025,55.3,40,"72,354"
HIV prevalence,2014,Grant County ,Wisconsin,55043,31.6,14,"44,255"
HIV prevalence,2014,Grays Harbor County ,Washington,53027,114.5,69,"60,239"
HIV prevalence,2014,Green County ,Wisconsin,55045,38.7,12,"31,025"
HIV prevalence,2014,Green Lake County ,Wisconsin,55047,63.1,10,"15,850"
HIV prevalence,2014,Hot Springs County ,Wyoming,56017,Data suppressed,Data suppressed,null
HIV prevalence,2014,Iowa County ,Wisconsin,55049,30.2,6,"19,869"
HIV prevalence,2014,Iron County ,Wisconsin,55051,Data suppressed,Data suppressed,null
HIV prevalence,2014,Island County ,Washington,53029,95,65,"68,393"
HIV prevalence,2014,Jackson County ,Wisconsin,55053,28.9,5,"17,312"
HIV prevalence,2014,Jefferson County ,Washington,53031,105.9,29,"27,391"
HIV prevalence,2014,Jefferson County ,Wisconsin,55055,33.7,24,"71,258"
HIV prevalence,2014,Johnson County ,Wyoming,56019,Data suppressed,Data suppressed,null
HIV prevalence,2014,Juneau County ,Wisconsin,55057,44.4,10,"22,527"
HIV prevalence,2014,Kenosha County ,Wisconsin,55059,139.5,195,"139,826"
HIV prevalence,2014,Kewaunee County ,Wisconsin,55061,40.4,7,"17,340"
HIV prevalence,2014,King County ,Washington,53033,375.9,"6,624","1,762,387"
HIV prevalence,2014,Kitsap County ,Washington,53035,126.5,274,"216,681"
HIV prevalence,2014,Kittitas County ,Washington,53037,67.3,25,"37,170"
HIV prevalence,2014,Klickitat County ,Washington,53039,89.4,16,"17,905"
HIV prevalence,2014,La Crosse County ,Wisconsin,55063,97.3,98,"100,690"
HIV prevalence,2014,Lafayette County ,Wisconsin,55065,Data suppressed,Data suppressed,null
HIV prevalence,2014,Langlade County ,Wisconsin,55067,29.9,5,"16,699"
HIV prevalence,2014,Laramie County ,Wyoming,56021,101.6,81,"79,719"
HIV prevalence,2014,Lewis County ,Washington,53041,73.8,47,"63,680"
HIV prevalence,2014,Lincoln County ,Washington,53043,68.6,6,"8,750"
HIV prevalence,2014,Lincoln County ,Wisconsin,55069,20.4,5,"24,542"
HIV prevalence,2014,Lincoln County ,Wyoming,56023,40.1,6,"14,961"
HIV prevalence,2014,Manitowoc County ,Wisconsin,55071,49.7,34,"68,414"
HIV prevalence,2014,Marathon County ,Wisconsin,55073,53.9,61,"113,154"
HIV prevalence,2014,Marinette County ,Wisconsin,55075,39.3,14,"35,668"
HIV prevalence,2014,Marquette County ,Wisconsin,55077,85,11,"12,945"
HIV prevalence,2014,Mason County ,Washington,53045,139.2,73,"52,459"
HIV prevalence,2014,Menominee County ,Wisconsin,55078,177.9,6,"3,372"
HIV prevalence,2014,Milwaukee County ,Wisconsin,55079,358.4,"2,815","785,444"
HIV prevalence,2014,Monroe County ,Wisconsin,55081,37.8,14,"37,066"
HIV prevalence,2014,Natrona County ,Wyoming,56025,44.7,30,"67,085"
HIV prevalence,2014,Niobrara County ,Wyoming,56027,Data suppressed,Data suppressed,null
HIV prevalence,2014,Oconto County ,Wisconsin,55083,18.7,6,"32,088"
HIV prevalence,2014,Okanogan County ,Washington,53047,87.4,30,"34,332"
HIV prevalence,2014,Oneida County ,Wisconsin,55085,28.9,9,"31,187"
HIV prevalence,2014,Outagamie County ,Wisconsin,55087,63.7,96,"150,760"
HIV prevalence,2014,Ozaukee County ,Wisconsin,55089,36.2,27,"74,532"
HIV prevalence,2014,Pacific County ,Washington,53049,176.8,32,"18,099"
HIV prevalence,2014,Park County ,Wyoming,56029,24.2,6,"24,832"
HIV prevalence,2014,Pend Oreille County ,Washington,53051,62.3,7,"11,229"
HIV prevalence,2014,Pepin County ,Wisconsin,55091,Data suppressed,Data suppressed,null
HIV prevalence,2014,Pierce County ,Washington,53053,181.5,"1,245","686,091"
HIV prevalence,2014,Pierce County ,Wisconsin,55093,31.6,11,"34,774"
HIV prevalence,2014,Platte County ,Wyoming,56031,Data suppressed,Data suppressed,null
HIV prevalence,2014,Polk County ,Wisconsin,55095,27.2,10,"36,831"
HIV prevalence,2014,Portage County ,Wisconsin,55097,39.5,24,"60,709"
HIV prevalence,2014,Price County ,Wisconsin,55099,Data suppressed,Data suppressed,null
HIV prevalence,2014,Racine County ,Wisconsin,55101,121.5,197,"162,163"
HIV prevalence,2014,Richland County ,Wisconsin,55103,Data suppressed,Data suppressed,null
HIV prevalence,2014,Rock County ,Wisconsin,55105,108.9,146,"134,027"
HIV prevalence,2014,Rusk County ,Wisconsin,55107,57.1,7,"12,265"
HIV prevalence,2014,San Juan County ,Washington,53055,179.3,26,"14,504"
HIV prevalence,2014,Sauk County ,Wisconsin,55111,51,27,"52,985"
HIV prevalence,2014,Sawyer County ,Wisconsin,55113,49.8,7,"14,068"
HIV prevalence,2014,Shawano County ,Wisconsin,55115,39.8,14,"35,166"
HIV prevalence,2014,Sheboygan County ,Wisconsin,55117,59.9,58,"96,869"
HIV prevalence,2014,Sheridan County ,Wyoming,56033,27.6,7,"25,375"
HIV prevalence,2014,Skagit County ,Washington,53057,68.4,69,"100,894"
HIV prevalence,2014,Skamania County ,Washington,53059,51.4,5,"9,723"
HIV prevalence,2014,Snohomish County ,Washington,53061,121.2,768,"633,531"
HIV prevalence,2014,Spokane County ,Washington,53063,112,455,"406,356"
HIV prevalence,2014,St. Croix County ,Wisconsin,55109,25.4,18,"70,878"
HIV prevalence,2014,Stevens County ,Washington,53065,35.1,13,"37,050"
HIV prevalence,2014,Sublette County ,Wyoming,56035,Data suppressed,Data suppressed,null
HIV prevalence,2014,Sweetwater County ,Wyoming,56037,80.6,29,"35,965"
HIV prevalence,2014,Taylor County ,Wisconsin,55119,Data suppressed,Data suppressed,null
HIV prevalence,2014,Teton County ,Wyoming,56039,56.1,11,"19,619"
HIV prevalence,2014,Thurston County ,Washington,53067,112.1,251,"223,968"
HIV prevalence,2014,Trempealeau County ,Wisconsin,55121,20.5,5,"24,338"
HIV prevalence,2014,Uinta County ,Wyoming,56041,Data suppressed,Data suppressed,null
HIV prevalence,2014,Vernon County ,Wisconsin,55123,32.4,8,"24,711"
HIV prevalence,2014,Vilas County ,Wisconsin,55125,Data suppressed,Data suppressed,null
HIV prevalence,2014,Wahkiakum County ,Washington,53069,Data suppressed,Data suppressed,null
HIV prevalence,2014,Walla Walla County ,Washington,53071,83.1,42,"50,527"
HIV prevalence,2014,Walworth County ,Wisconsin,55127,45.6,40,"87,726"
HIV prevalence,2014,Washakie County ,Wyoming,56043,Data suppressed,Data suppressed,null
HIV prevalence,2014,Washburn County ,Wisconsin,55129,44.4,6,"13,502"
HIV prevalence,2014,Washington County ,Wisconsin,55131,33,37,"112,043"
HIV prevalence,2014,Waukesha County ,Wisconsin,55133,50.1,168,"335,018"
HIV prevalence,2014,Waupaca County ,Wisconsin,55135,38.2,17,"44,476"
HIV prevalence,2014,Waushara County ,Wisconsin,55137,47.6,10,"21,018"
HIV prevalence,2014,Weston County ,Wyoming,56045,Data suppressed,Data suppressed,null
HIV prevalence,2014,Whatcom County ,Washington,53073,110.4,197,"178,510"
HIV prevalence,2014,Whitman County ,Washington,53075,43.2,18,"41,701"
HIV prevalence,2014,Winnebago County ,Wisconsin,55139,58.2,84,"144,283"
HIV prevalence,2014,Wood County ,Wisconsin,55141,53,33,"62,262"
HIV prevalence,2014,Yakima County ,Washington,53077,102.4,198,"193,335"
HIV diagnoses,2014,Addison County ,Vermont,50001,Data suppressed,Data suppressed,"32,460"
HIV diagnoses,2014,Anderson County ,Texas,48001,28.1,14,"49,838"
HIV diagnoses,2014,Andrews County ,Texas,48003,Data suppressed,Data suppressed,"13,465"
HIV diagnoses,2014,Angelina County ,Texas,48005,14,10,"71,390"
HIV diagnoses,2014,Aransas County ,Texas,48007,Data suppressed,Data suppressed,"21,682"
HIV diagnoses,2014,Archer County ,Texas,48009,Data suppressed,Data suppressed,"7,571"
HIV diagnoses,2014,Armstrong County ,Texas,48011,Data suppressed,Data suppressed,"1,623"
HIV diagnoses,2014,Atascosa County ,Texas,48013,Data suppressed,Data suppressed,"38,333"
HIV diagnoses,2014,Austin County ,Texas,48015,Data suppressed,Data suppressed,"24,075"
HIV diagnoses,2014,Bailey County ,Texas,48017,Data suppressed,Data suppressed,"5,364"
HIV diagnoses,2014,Bandera County ,Texas,48019,Data suppressed,Data suppressed,"18,450"
HIV diagnoses,2014,Bastrop County ,Texas,48021,10.9,7,"64,103"
HIV diagnoses,2014,Baylor County ,Texas,48023,Data suppressed,Data suppressed,"3,053"
HIV diagnoses,2014,Beaver County ,Utah,49001,Data suppressed,Data suppressed,"4,981"
HIV diagnoses,2014,Bee County ,Texas,48025,39.6,11,"27,777"
HIV diagnoses,2014,Bell County ,Texas,48027,13.8,36,"260,427"
HIV diagnoses,2014,Bennington County ,Vermont,50003,Data suppressed,Data suppressed,"31,569"
HIV diagnoses,2014,Bexar County ,Texas,48029,21.4,323,"1,507,592"
HIV diagnoses,2014,Blanco County ,Texas,48031,Data suppressed,Data suppressed,"9,421"
HIV diagnoses,2014,Borden County ,Texas,48033,Data suppressed,Data suppressed,560
HIV diagnoses,2014,Bosque County ,Texas,48035,Data suppressed,Data suppressed,"15,039"
HIV diagnoses,2014,Bowie County ,Texas,48037,28.4,22,"77,459"
HIV diagnoses,2014,Box Elder County ,Utah,49003,Data suppressed,Data suppressed,"39,241"
HIV diagnoses,2014,Brazoria County ,Texas,48039,9.2,25,"272,432"
HIV diagnoses,2014,Brazos County ,Texas,48041,13.6,24,"177,110"
HIV diagnoses,2014,Brewster County ,Texas,48043,Data suppressed,Data suppressed,"7,822"
HIV diagnoses,2014,Briscoe County ,Texas,48045,Data suppressed,Data suppressed,"1,288"
HIV diagnoses,2014,Brooks County ,Texas,48047,Data suppressed,Data suppressed,"5,702"
HIV diagnoses,2014,Brown County ,Texas,48049,Data suppressed,Data suppressed,"31,695"
HIV diagnoses,2014,Burleson County ,Texas,48051,Data suppressed,Data suppressed,"14,484"
HIV diagnoses,2014,Burnet County ,Texas,48053,Data suppressed,Data suppressed,"37,675"
HIV diagnoses,2014,Cache County ,Utah,49005,Data suppressed,Data suppressed,"90,911"
HIV diagnoses,2014,Caldwell County ,Texas,48055,15.1,5,"33,131"
HIV diagnoses,2014,Caledonia County ,Vermont,50005,Data suppressed,Data suppressed,"26,635"
HIV diagnoses,2014,Calhoun County ,Texas,48057,Data suppressed,Data suppressed,"17,881"
HIV diagnoses,2014,Callahan County ,Texas,48059,Data suppressed,Data suppressed,"11,445"
HIV diagnoses,2014,Cameron County ,Texas,48061,21.2,69,"324,810"
HIV diagnoses,2014,Camp County ,Texas,48063,48.8,5,"10,238"
HIV diagnoses,2014,Carbon County ,Utah,49007,Data suppressed,Data suppressed,"16,513"
HIV diagnoses,2014,Carson County ,Texas,48065,Data suppressed,Data suppressed,"4,969"
HIV diagnoses,2014,Cass County ,Texas,48067,Data suppressed,Data suppressed,"25,500"
HIV diagnoses,2014,Castro County ,Texas,48069,Data suppressed,Data suppressed,"6,090"
HIV diagnoses,2014,Chambers County ,Texas,48071,Data suppressed,Data suppressed,"30,721"
HIV diagnoses,2014,Cherokee County ,Texas,48073,12,5,"41,590"
HIV diagnoses,2014,Childress County ,Texas,48075,Data suppressed,Data suppressed,"6,010"
HIV diagnoses,2014,Chittenden County ,Vermont,50007,3.6,5,"139,635"
HIV diagnoses,2014,Clay County ,Texas,48077,Data suppressed,Data suppressed,"8,852"
HIV diagnoses,2014,Cochran County ,Texas,48079,Data suppressed,Data suppressed,"2,339"
HIV diagnoses,2014,Coke County ,Texas,48081,Data suppressed,Data suppressed,"2,796"
HIV diagnoses,2014,Coleman County ,Texas,48083,Data suppressed,Data suppressed,"7,115"
HIV diagnoses,2014,Collin County ,Texas,48085,12.7,91,"715,844"
HIV diagnoses,2014,Collingsworth County ,Texas,48087,Data suppressed,Data suppressed,"2,412"
